Nama,Simbol,Peringkat,Mata Uang,Harga,Market Cap,Perubahan 24j,Update Terakhir
Bitcoin,BTC,1,USD,85918.50210027104,1725952607571.2761,0.05890111,2026-09-23 16:31:00
Ethereum,ETH,2,USD,2739.0537926063203,334365591404.5517,0.03566432,2026-09-23 16:31:00
Tether USDt,USDT,3,USD,0.9998170413034848,183436549342.58224,0.01798106,2026-09-23 16:31:00
BNB,BNB,4,USD,787.2929598903763,104835934821.8762,0.1067835,2026-09-23 16:32:00
XRP,XRP,5,USD,1.600113736520616,100613887420.94731,4.02399087,2026-09-23 16:32:00
USDC,USDC,6,USD,0.9999211372731746,75175220813.37018,-0.00127806,2026-09-23 16:32:00
Solana,SOL,7,USD,117.51906162356387,69043259729.14154,0.34759141,2026-09-23 16:32:00
TRON,TRX,8,USD,0.3428964545366487,32562569200.46604,-1.6375014,2026-09-23 16:32:00
Zcash,ZEC,9,USD,1610.6763667774023,27192773739.948715,7.76101774,2026-09-23 16:31:00
Hyperliquid,HYPE,10,USD,96.00664225611324,24129773902.928444,1.06565227,2026-09-23 16:32:00
Dogecoin,DOGE,11,USD,0.1000853747777967,15616597901.129536,1.71804686,2026-09-23 16:31:00
Monero,XMR,12,USD,569.0474242488003,10702845912.28877,0.19591329,2026-09-23 16:32:00
Chainlink,LINK,13,USD,12.960761321095882,9695945160.99581,0.21640926,2026-09-23 16:32:00
Cardano,ADA,14,USD,0.25496848853984966,9374521793.782465,2.68179931,2026-09-23 16:32:00
UNUS SED LEO,LEO,15,USD,8.986431434550592,8266239515.632343,0.21338534,2026-09-23 16:31:00
Stellar,XLM,16,USD,0.2174296875132036,7595411782.83935,2.53067946,2026-09-23 16:31:00
Bitcoin Cash,BCH,17,USD,358.07281743415626,7194844400.953752,33.71818604,2026-09-23 16:31:00
Uniswap,UNI,18,USD,10.219336385516847,6342860271.870117,16.03058815,2026-09-23 16:32:00
NEAR Protocol,NEAR,19,USD,4.595355851104152,6006503433.293182,1.14076618,2026-09-23 16:31:00
Avalanche,AVAX,20,USD,11.080095007647742,4907763677.192735,1.7452178,2026-09-23 16:32:00
Ethena USDe,USDe,21,USD,0.9998307506632231,4893564597.620534,0.01873801,2026-09-23 16:32:00
Litecoin,LTC,22,USD,62.867367352029866,4881104410.957761,3.93186364,2026-09-23 16:32:00
Dai,DAI,23,USD,0.9994694778447701,4612083046.422804,-0.04826745,2026-09-23 16:31:00
Canton,CC,24,USD,0.11309353116454979,4485902624.709566,-3.49668483,2026-09-23 16:32:00
World Liberty Financial USD,USD1,25,USD,0.9994293637440327,4370965279.591975,0.00624654,2026-09-23 16:31:00
Hedera,HBAR,26,USD,0.09773608378956028,4283939329.3020873,2.67402565,2026-09-23 16:31:00
Sui,SUI,27,USD,1.0230211066706933,4190843965.1719365,0.7045703,2026-09-23 16:31:00
Gram (prev. Toncoin),GRAM,28,USD,1.4515009821080762,4080862439.613232,1.56734249,2026-09-23 16:32:00
Shiba Inu,SHIB,29,USD,6.121293279588413e-06,3606904535.6788063,1.1555479,2026-09-23 16:32:00
Bittensor,TAO,30,USD,310.20015105718363,3580765551.4230733,-2.62561292,2026-09-23 16:31:00
Cronos,CRO,31,USD,0.06712912032253104,3338914857.1767373,1.40306953,2026-09-23 16:31:00
Global Dollar,USDG,32,USD,0.9998067532919136,3268016234.601879,-0.03746688,2026-09-23 16:32:00
MemeCore,M,33,USD,1.276291462458015,2907088664.291895,-4.27857918,2026-09-23 16:32:00
PayPal USD,PYUSD,34,USD,0.9997744447078447,2824300439.078883,-1.769e-05,2026-09-23 16:31:00
Tether Gold,XAUt,35,USD,4320.782691539523,2691085687.98717,0.06986392,2026-09-23 16:32:00
OKB,OKB,36,USD,124.11610657551498,2606438238.0858145,0.9653873,2026-09-23 16:31:00
Ripple USD,RLUSD,37,USD,1.0000276723008352,2426653361.8309193,-0.00065943,2026-09-23 16:32:00
Aave,AAVE,38,USD,149.94685296339594,2313519049.3091865,6.00163287,2026-09-23 16:31:00
Mantle,MNT,39,USD,0.6803160516073787,2246603875.5726895,5.20180823,2026-09-23 16:32:00
Ethena,ENA,40,USD,0.2138677549790306,2159061820.1867447,1.49217342,2026-09-23 16:31:00
Ondo,ONDO,41,USD,0.43816185334443275,2133554940.836366,0.97118632,2026-09-23 16:31:00
Pump.fun,PUMP,42,USD,0.004350669335673309,2031400553.6903605,-3.68127026,2026-09-23 16:31:00
Pepe,PEPE,43,USD,4.904413051193972e-06,2029310538.614695,-1.19832569,2026-09-23 16:32:00
Polkadot,DOT,44,USD,1.1684620063326192,1991159792.5643456,-0.32036071,2026-09-23 16:32:00
Aster,ASTER,45,USD,0.726129493706959,1963838342.4165642,0.14423132,2026-09-23 16:32:00
PAX Gold,PAXG,46,USD,4317.029175096454,1877491631.173028,0.03025138,2026-09-23 16:31:00
World Liberty Financial,WLFI,47,USD,0.05813106454758863,1847277256.1906826,1.05784454,2026-09-23 16:32:00
Internet Computer,ICP,48,USD,3.077026409428768,1713619429.464243,4.43649253,2026-09-23 16:31:00
Sky,SKY,49,USD,0.07307370623615916,1711694671.6923907,7.8108326,2026-09-23 16:32:00
Worldcoin,WLD,50,USD,0.45662705137314324,1665940573.7889593,1.92774111,2026-09-23 16:31:00
Arbitrum,ARB,51,USD,0.241377575984712,1637885549.8183196,10.32469325,2026-09-23 16:31:00
Venice Token,VVV,52,USD,31.60874896684028,1530555179.2770154,0.06446628,2026-09-23 16:32:00
USDD,USDD,53,USD,0.999044415407717,1514537655.8410077,-0.06637302,2026-09-23 16:32:00
Ethereum Classic,ETC,54,USD,9.505521574239138,1504318834.9007406,8.6026617,2026-09-23 16:31:00
